# BLASTN 2.12.0+
# Query: sp|
# Database: META1_copies.txt
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 114 hits found
sp|	AT3TE61000	98.199	5163	56	18	1	5145	128	5271	0.0	8985
sp|	AT3TE61000	100.000	289	0	0	4857	5145	1	289	7.73e-153	534
sp|	AT3TE61000	99.383	162	1	0	1	162	5110	5271	1.43e-80	294
sp|	AT3TE61000	94.059	101	5	1	858	957	863	963	9.09e-38	152
sp|	AT3TE61000	94.059	101	5	1	735	835	986	1085	9.09e-38	152
sp|	AT4TE22180	98.325	5135	60	11	2	5131	1	5114	0.0	8983
sp|	AT4TE22180	99.354	929	5	1	2627	3554	5124	6052	0.0	1681
sp|	AT4TE22180	96.894	161	5	0	4985	5145	1	161	2.41e-73	270
sp|	AT4TE22180	94.595	148	8	0	1	148	4967	5114	4.08e-61	230
sp|	AT4TE22180	94.059	101	5	1	858	957	733	833	9.09e-38	152
sp|	AT4TE22180	93.069	101	6	1	735	835	856	955	4.23e-36	147
sp|	AT5TE37975	98.105	5172	44	13	2	5145	1	5146	0.0	8959
sp|	AT5TE37975	98.765	162	2	0	1	162	4985	5146	6.64e-79	289
sp|	AT5TE37975	98.758	161	2	0	4985	5145	1	161	2.39e-78	287
sp|	AT5TE37975	94.059	101	5	1	735	835	857	956	9.09e-38	152
sp|	AT3TE76010	98.066	5170	53	18	2	5145	1	5149	0.0	8949
sp|	AT3TE76010	100.000	162	0	0	1	162	4988	5149	3.07e-82	300
sp|	AT3TE76010	100.000	161	0	0	4985	5145	1	161	1.10e-81	298
sp|	AT3TE76010	95.050	101	4	1	735	835	858	957	1.95e-39	158
sp|	AT4TE32060	98.061	5157	64	12	2	5145	1	5134	0.0	8937
sp|	AT4TE32060	98.137	161	3	0	4985	5145	1	161	1.11e-76	281
sp|	AT4TE32060	96.914	162	5	0	1	162	4973	5134	6.69e-74	272
sp|	AT4TE32060	95.050	101	4	1	858	957	733	833	1.95e-39	158
