# BLASTN 2.12.0+
# Query: sp|
# Database: SIMPLEGUY1_copies.txt
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 58 hits found
sp|	AT5TE79680	93.968	1061	46	9	8	1068	2	1044	0.0	1589
sp|	AT5TE79680	81.654	387	60	11	311	693	344	723	1.39e-86	311
sp|	AT5TE79680	84.014	294	41	6	347	638	433	722	1.41e-76	278
sp|	AT5TE79680	82.492	297	42	9	320	612	433	723	8.54e-69	252
sp|	AT5TE79680	82.845	239	37	4	320	556	486	722	1.45e-56	211
sp|	AT5TE73020	91.914	1076	72	10	3	1068	1	1071	0.0	1491
sp|	AT4TE48660	89.699	1097	63	24	3	1066	10	1089	0.0	1354
sp|	AT5TE30560	90.235	1065	54	26	2	1061	1	1020	0.0	1345
sp|	AT5TE30560	84.986	353	41	10	347	693	399	745	1.06e-97	348
sp|	AT5TE30560	83.520	358	52	7	313	667	392	745	1.38e-91	327
sp|	AT5TE30560	84.314	306	39	7	311	612	445	745	1.81e-80	291
sp|	AT5TE30560	83.729	295	43	5	346	638	453	744	1.82e-75	274
sp|	AT5TE30560	83.193	238	36	4	321	556	509	744	1.12e-57	215
sp|	AT1TE81150	89.842	1073	73	13	1	1068	1	1042	0.0	1345
sp|	AT1TE81150	84.211	361	49	7	391	747	313	669	1.37e-96	344
sp|	AT1TE81150	84.431	334	45	5	418	747	313	643	6.42e-90	322
sp|	AT3TE75665	87.729	1092	56	29	8	1066	1	1047	0.0	1203
sp|	AT3TE75665	83.293	413	58	11	313	720	361	767	2.26e-104	370
sp|	AT3TE75665	83.333	390	52	12	364	747	307	689	1.06e-97	348
sp|	AT3TE20050	89.446	938	62	19	118	1050	79	984	0.0	1149
sp|	AT3TE20050	81.492	362	53	13	391	747	274	626	8.42e-79	285
sp|	AT3TE20050	85.776	232	26	7	518	747	292	518	6.65e-65	239
sp|	AT3TE20050	94.872	78	4	0	3	80	1	78	6.98e-30	122
sp|	AT3TE80270	91.076	762	60	8	311	1068	366	1123	0.0	1024
sp|	AT3TE80270	88.594	754	73	13	1	747	1	748	0.0	904
sp|	AT3TE80270	85.054	368	50	5	381	746	329	693	2.26e-104	370
sp|	AT3TE80270	87.261	314	37	3	437	749	331	642	6.33e-100	355
sp|	AT1TE83355	92.183	678	47	6	391	1068	302	973	0.0	953
sp|	AT1TE83355	91.982	661	42	11	10	667	1	653	0.0	917
sp|	AT1TE83355	80.844	308	44	14	311	612	355	653	1.44e-61	228
sp|	AT1TE83355	84.158	202	29	3	356	556	453	652	5.25e-51	193
sp|	AT3TE48215	92.436	661	46	4	400	1060	343	999	0.0	941
sp|	AT3TE48215	88.921	695	64	12	3	693	1	686	0.0	845
sp|	AT3TE48215	81.711	339	58	4	300	638	351	685	3.92e-77	279
sp|	AT3TE48215	84.211	247	34	5	502	747	337	579	8.60e-64	235
sp|	AT5TE75120	88.594	754	81	5	310	1061	384	1134	0.0	911
sp|	AT5TE75120	88.859	745	73	10	8	747	1	740	0.0	907
sp|	AT5TE75120	85.559	367	52	1	381	747	320	685	2.90e-108	383
sp|	AT3TE48175	91.706	639	48	5	427	1063	1102	1737	0.0	881
sp|	AT3TE48175	86.552	699	68	15	3	693	32	712	0.0	747
sp|	AT3TE48175	86.552	699	68	15	3	693	740	1420	0.0	747
sp|	AT5TE28290	90.895	637	52	6	391	1026	303	934	0.0	850
sp|	AT5TE28290	90.137	659	56	9	12	667	3	655	0.0	848
sp|	AT5TE28290	82.951	305	44	7	311	612	356	655	8.48e-74	268
sp|	AT5TE28290	81.928	249	39	6	311	556	409	654	6.74e-55	206
sp|	AT5TE28290	94.444	36	2	0	1033	1068	928	963	7.19e-10	56.5
sp|	AT3TE14615	82.436	427	56	13	329	753	186	595	6.33e-100	355
sp|	AT3TE14615	84.167	360	42	11	383	738	258	606	8.24e-94	335
sp|	AT3TE14615	83.427	356	52	7	356	711	258	606	1.78e-90	324
sp|	AT3TE14615	81.844	358	54	10	329	684	258	606	1.81e-80	291
sp|	AT3TE51995	82.143	364	56	9	391	753	267	622	2.32e-84	303
sp|	AT3TE51995	82.670	352	47	10	391	738	292	633	3.01e-83	300
sp|	AT3TE51995	80.286	350	59	9	337	684	292	633	6.60e-70	255
sp|	AT1TE85105	80.000	385	74	3	311	694	442	824	1.09e-77	281
sp|	AT4TE09755	75.153	652	121	24	120	747	99	733	8.48e-74	268
sp|	AT4TE50080	75.824	364	68	17	337	694	363	712	3.18e-43	167
sp|	AT4TE50080	74.278	381	73	22	296	667	347	711	2.49e-34	137
sp|	AT4TE50080	78.049	205	36	9	419	620	521	719	2.51e-29	121
# BLAST processed 1 queries
